tweet_id,label,score
1550842878867423233,Positive,0.564806342124939
1550840422444015617,Positive,0.8242039680480957
1550832312442576899,Positive,0.7597911357879639
1550817433434427392,Neutral,0.8558154702186584
1550809525237780480,Neutral,0.7858434915542603
1550791409829134341,Neutral,0.8351852893829346
1550715341352878081,Positive,0.7289053201675415
1550712999471718400,Positive,0.47626832127571106
1550712000098992130,Neutral,0.7965682148933411
1550703400182063104,Negative,0.7596327662467957
1550681563410665472,Neutral,0.5926201939582825
1550668377638813697,Neutral,0.8359624147415161
1550633324191879168,Positive,0.5848576426506042
1550628910181801984,Neutral,0.4841519892215729
1550628186018512898,Neutral,0.45835721492767334
1550627750574161923,Negative,0.7977860569953918
1550627197051932672,Neutral,0.48105040192604065
1550626842801061889,Negative,0.8036512136459351
1550607932496269314,Neutral,0.7760244011878967
1550601619712212993,Neutral,0.8215433955192566
1550573977067716609,Neutral,0.8090090751647949
1550571854242484226,Neutral,0.8446468114852905
1550570560047955972,Neutral,0.7935701608657837
1550543801646710790,Positive,0.7526444792747498
1550539276500475904,Neutral,0.7806016206741333
1550538396547907591,Neutral,0.5797925591468811
1550528732171218944,Neutral,0.6477220058441162
1550518069499404288,Neutral,0.4447585940361023
1550515757540319233,Neutral,0.5779291391372681
1550512682071212033,Positive,0.5519616603851318
1550504500670222341,Positive,0.6194033622741699
1550493925936451585,Neutral,0.7721464037895203
1550484514014744583,Neutral,0.8518624305725098
1550472608046612480,Positive,0.7891446948051453
1550459677993046017,Negative,0.8666169047355652
1550443162174476289,Negative,0.4883253872394562
1550435555074252802,Neutral,0.49787428975105286
1550368415696683008,Neutral,0.6122190952301025
1550332291716620290,Neutral,0.815514862537384
1550317831576850433,Neutral,0.4789269268512726
1550309129390067713,Neutral,0.9078095555305481
1550293705063645185,Neutral,0.7041658163070679
1550279884844535808,Positive,0.864138126373291
1550276993169690630,Neutral,0.743543267250061
1550271801070075910,Positive,0.6139890551567078
