tweet_id,label,score
1550585542382948354,Neutral,0.49201714992523193
1550564254633414662,Neutral,0.44514569640159607
1550540924584960006,Negative,0.7683091163635254
1550473723207159808,Positive,0.5622287392616272
1550363226017259520,Neutral,0.4316045045852661
1550182774744797185,Positive,0.5412478446960449
1550149289195741184,Neutral,0.7758219242095947
1550148683357982721,Neutral,0.8366093039512634
1550127042485579792,Neutral,0.6786263585090637
1550117292649762817,Neutral,0.7100681066513062
1550117213398392836,Neutral,0.711062490940094
1550075894575792128,Neutral,0.8661559820175171
1549933571330244610,Neutral,0.6466153264045715
1549898341915451393,Positive,0.5730105042457581
1549835337886744576,Neutral,0.5565294027328491
1549808312174125058,Neutral,0.7872506976127625
1549751543708061696,Neutral,0.9027826189994812
1549748524312567809,Neutral,0.6812446117401123
1549559469901844480,Neutral,0.7074232697486877
1549554855915753472,Positive,0.5282407402992249
1549532495183486980,Neutral,0.9027826189994812
1549501928488443911,Neutral,0.8874664306640625
1549489179196903425,Neutral,0.8637397885322571
1549410149365858304,Positive,0.5765352249145508
1549176124093128705,Negative,0.522784411907196
1549086493607542784,Neutral,0.7789831161499023
1548949266932056064,Positive,0.7452894449234009
1548819251615629317,Positive,0.7394508719444275
1548816751256813569,Positive,0.7613186240196228
1548804806780796934,Positive,0.6266804337501526
1548522381890662401,Neutral,0.5953421592712402
