tweet_id,label,score
1550837580920492032,Positive,0.38763001561164856
1550769829560274945,Neutral,0.5377219915390015
1550639380792053760,Neutral,0.7818618416786194
1550582496294846464,Negative,0.9287250638008118
1550568463390965760,Neutral,0.8249569535255432
1550481889508696065,Neutral,0.6436031460762024
1550436232097943553,Negative,0.9017993807792664
1550436078745784320,Negative,0.9559499621391296
1550299583384788993,Positive,0.8783186674118042
1550236832004292610,Positive,0.6754909753799438
1550236676428951552,Neutral,0.7868949770927429
1550228130249736192,Neutral,0.8061132431030273
1550158898853715969,Neutral,0.803525984287262
1550142174829977601,Neutral,0.8148964643478394
1550138983379877890,Neutral,0.8510713577270508
1550077041764089857,Negative,0.9563711881637573
1549913954427740160,Neutral,0.6621533632278442
1549911524860469248,Neutral,0.6496896147727966
1549814040377323520,Neutral,0.8119645714759827
1549512614438379521,Negative,0.9330187439918518
1549358907960594432,Negative,0.6345798373222351
1549048270353158144,Neutral,0.8706589937210083
1549006330626580480,Neutral,0.7901472449302673
