tweet_id,label,score
1550856803881259008,Neutral,0.679818332195282
1550856753012789248,Neutral,0.712883472442627
1550856716413198339,Negative,0.5830029249191284
1550856142166937600,Neutral,0.8374975323677063
1550855334683623424,Neutral,0.5397424697875977
1550850392522727424,Neutral,0.45627671480178833
1550849978981142531,Negative,0.8037840127944946
1550849904788086784,Neutral,0.5074928998947144
1550849643398963200,Negative,0.8375180959701538
1550849033190756354,Neutral,0.6888035535812378
1550848973493116929,Positive,0.5604576468467712
1550847617730777088,Neutral,0.7803312540054321
1550847599766343680,Neutral,0.8612328767776489
1550846758581837830,Neutral,0.6201984286308289
1550846435016560647,Neutral,0.6559091806411743
1550846080438476801,Neutral,0.6423972249031067
1550845359148175360,Neutral,0.6577442288398743
1550845327581876225,Neutral,0.5310802459716797
1550845090914091012,Negative,0.824422299861908
1550844643801178112,Neutral,0.695811927318573
1550842878867423233,Positive,0.564806342124939
1550839648699686914,Negative,0.7772273421287537
1550839039581995009,Negative,0.560709536075592
1550834285246119939,Negative,0.7685693502426147
1550830865558781952,Neutral,0.6890146732330322
1550829777468227584,Negative,0.8569647073745728
1550829470948282371,Neutral,0.6187739372253418
1550829262520946689,Neutral,0.6649659276008606
1550828727696822273,Neutral,0.5752972364425659
1550826995432431616,Neutral,0.5206023454666138
1550826838724907008,Neutral,0.4717448353767395
1550826822480396288,Negative,0.4644775092601776
1550826420003377153,Negative,0.9289693236351013
1550824709884973057,Positive,0.7111467719078064
1550824137601519616,Neutral,0.7804127931594849
1550823748210761728,Neutral,0.5057091116905212
1550823599602286596,Negative,0.9459248185157776
1550823256734793730,Neutral,0.6105706095695496
1550819970132623360,Neutral,0.7462770938873291
1550817669837905920,Negative,0.6613193154335022
1550817433434427392,Neutral,0.8558154702186584
1550816731496648704,Neutral,0.7916384339332581
1550814376831090688,Neutral,0.6412997841835022
1550812305918656512,Negative,0.8595200777053833
1550811738119065600,Neutral,0.7916384339332581
1550811708360368129,Neutral,0.6858658194541931
1550811216410460160,Neutral,0.8286911845207214
1550810745482481664,Neutral,0.8355400562286377
1550801438477017094,Neutral,0.8373295068740845
1550800923001339905,Neutral,0.7638270854949951
1550799925759426560,Negative,0.8595200777053833
1550799062315712512,Negative,0.623256266117096
1550797874669166594,Neutral,0.7636865973472595
1550793649629405185,Negative,0.6685993671417236
1550791409829134341,Neutral,0.8351852893829346
1550791048074600449,Neutral,0.6279134154319763
1550789857018101761,Neutral,0.7772652506828308
1550789822402404356,Negative,0.6824577450752258
1550784585373458433,Neutral,0.7324598431587219
1550782783848558593,Neutral,0.7672276496887207
1550778384711565313,Positive,0.4914812445640564
